id,user_id,name,industry,stage,location,funding_goal,traction,team_size,revenue_stage,incorporation_certificate,preferred_min_investor_experience,preferred_min_investor_portfolio_size,description
22,6004,Williams Inc,Climate Tech,Seed,Bangalore,741374,"5766 users, $38k MRR",9,Below $100k,True,4,14,"Williams Inc is a Seed Climate Tech startup based in Bangalore. The company has a 9-member team and has achieved 5766 users, $38k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $741,374 to scale operations and expand their market presence. Preferred investors should have at least 4 years of experience and a portfolio of at least 14 companies."
23,3185,"Brown, Armstrong and Campbell",SaaS,Series A,Bangalore,1838607,"76961 users, $150k MRR",17,$100k - $500k,True,3,16,"Brown, Armstrong and Campbell is a Series A SaaS startup based in Bangalore. The company has a 17-member team and has achieved 76961 users, $150k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $1,838,607 to scale operations and expand their market presence. Preferred investors should have at least 3 years of experience and a portfolio of at least 16 companies."
24,8324,Miles-Taylor,AI,Pre-Seed,Toronto,156994,"1270 users, $7k MRR",5,Pre-Revenue,True,1,13,"Miles-Taylor is a Pre-Seed AI startup based in Toronto. The company has a 5-member team and has achieved 1270 users, $7k MRR. They are currently at the Pre-Revenue stage and is incorporated. They are seeking $156,994 to scale operations and expand their market presence. Preferred investors should have at least 1 years of experience and a portfolio of at least 13 companies."
25,7436,Myers-Jones,Climate Tech,Series A,Berlin,1830454,"91206 users, $87k MRR",15,Above $500k,True,5,20,"Myers-Jones is a Series A Climate Tech startup based in Berlin. The company has a 15-member team and has achieved 91206 users, $87k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $1,830,454 to scale operations and expand their market presence. Preferred investors should have at least 5 years of experience and a portfolio of at least 20 companies."
26,5209,"Mcintosh, Schneider and Robinson",HealthTech,Series A,Toronto,3543266,"88440 users, $121k MRR",11,$100k - $500k,True,7,15,"Mcintosh, Schneider and Robinson is a Series A HealthTech startup based in Toronto. The company has a 11-member team and has achieved 88440 users, $121k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $3,543,266 to scale operations and expand their market presence. Preferred investors should have at least 7 years of experience and a portfolio of at least 15 companies."
27,9447,Petty PLC,SaaS,Seed,London,1012788,"2999 users, $38k MRR",15,$100k - $500k,True,9,5,"Petty PLC is a Seed SaaS startup based in London. The company has a 15-member team and has achieved 2999 users, $38k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $1,012,788 to scale operations and expand their market presence. Preferred investors should have at least 9 years of experience and a portfolio of at least 5 companies."
28,7700,"Jones, Taylor and Weiss",Fintech,Series A,Toronto,2258841,"27760 users, $128k MRR",14,$100k - $500k,False,9,12,"Jones, Taylor and Weiss is a Series A Fintech startup based in Toronto. The company has a 14-member team and has achieved 27760 users, $128k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $2,258,841 to scale operations and expand their market presence. Preferred investors should have at least 9 years of experience and a portfolio of at least 12 companies."
29,5670,Harrington-Reeves,HealthTech,Series A,Berlin,4472005,"55071 users, $65k MRR",23,$100k - $500k,False,9,11,"Harrington-Reeves is a Series A HealthTech startup based in Berlin. The company has a 23-member team and has achieved 55071 users, $65k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $4,472,005 to scale operations and expand their market presence. Preferred investors should have at least 9 years of experience and a portfolio of at least 11 companies."
30,1100,Boyd-Phillips,E-commerce,Seed,San Francisco,1036739,"9400 users, $43k MRR",14,$100k - $500k,True,6,3,"Boyd-Phillips is a Seed E-commerce startup based in San Francisco. The company has a 14-member team and has achieved 9400 users, $43k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $1,036,739 to scale operations and expand their market presence. Preferred investors should have at least 6 years of experience and a portfolio of at least 3 companies."
31,8126,Jones Ltd,E-commerce,Seed,Berlin,1367213,"13259 users, $46k MRR",10,Below $100k,False,8,10,"Jones Ltd is a Seed E-commerce startup based in Berlin. The company has a 10-member team and has achieved 13259 users, $46k MRR. They are currently at the Below $100k stage and not yet incorporated. They are seeking $1,367,213 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 10 companies."
32,1460,"Chen, Lopez and Armstrong",EdTech,Pre-Seed,Bangalore,332699,"662 users, $7k MRR",3,Pre-Revenue,False,1,15,"Chen, Lopez and Armstrong is a Pre-Seed EdTech startup based in Bangalore. The company has a 3-member team and has achieved 662 users, $7k MRR. They are currently at the Pre-Revenue stage and not yet incorporated. They are seeking $332,699 to scale operations and expand their market presence. Preferred investors should have at least 1 years of experience and a portfolio of at least 15 companies."
33,5662,"Miller, Nelson and Lang",Fintech,Series A,Bangalore,2242250,"25132 users, $158k MRR",14,$100k - $500k,True,8,13,"Miller, Nelson and Lang is a Series A Fintech startup based in Bangalore. The company has a 14-member team and has achieved 25132 users, $158k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $2,242,250 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 13 companies."
34,2396,"Hampton, Miller and Zavala",Fintech,Series A,London,3957439,"42452 users, $149k MRR",29,$100k - $500k,True,8,16,"Hampton, Miller and Zavala is a Series A Fintech startup based in London. The company has a 29-member team and has achieved 42452 users, $149k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $3,957,439 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 16 companies."
35,6017,Andrews-Matthews,AI,Pre-Seed,Berlin,165568,"924 users, $4k MRR",6,Pre-Revenue,True,5,14,"Andrews-Matthews is a Pre-Seed AI startup based in Berlin. The company has a 6-member team and has achieved 924 users, $4k MRR. They are currently at the Pre-Revenue stage and is incorporated. They are seeking $165,568 to scale operations and expand their market presence. Preferred investors should have at least 5 years of experience and a portfolio of at least 14 companies."
36,1710,"Wilson, Collins and Schwartz",SaaS,Seed,London,1032083,"11584 users, $18k MRR",5,$100k - $500k,True,10,12,"Wilson, Collins and Schwartz is a Seed SaaS startup based in London. The company has a 5-member team and has achieved 11584 users, $18k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $1,032,083 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 12 companies."
37,7235,Vance Group,Climate Tech,Pre-Seed,San Francisco,269146,"1354 users, $1k MRR",5,Pre-Revenue,True,1,6,"Vance Group is a Pre-Seed Climate Tech startup based in San Francisco. The company has a 5-member team and has achieved 1354 users, $1k MRR. They are currently at the Pre-Revenue stage and is incorporated. They are seeking $269,146 to scale operations and expand their market presence. Preferred investors should have at least 1 years of experience and a portfolio of at least 6 companies."
38,9106,Benjamin-Murray,Climate Tech,Series A,Bangalore,4077686,"83121 users, $157k MRR",12,Above $500k,True,4,16,"Benjamin-Murray is a Series A Climate Tech startup based in Bangalore. The company has a 12-member team and has achieved 83121 users, $157k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $4,077,686 to scale operations and expand their market presence. Preferred investors should have at least 4 years of experience and a portfolio of at least 16 companies."
39,8899,"Davis, Leach and Jackson",Climate Tech,Series A,London,2906179,"47636 users, $192k MRR",16,Above $500k,False,6,14,"Davis, Leach and Jackson is a Series A Climate Tech startup based in London. The company has a 16-member team and has achieved 47636 users, $192k MRR. They are currently at the Above $500k stage and not yet incorporated. They are seeking $2,906,179 to scale operations and expand their market presence. Preferred investors should have at least 6 years of experience and a portfolio of at least 14 companies."
40,4171,"Poole, Wilson and Cooper",EdTech,Seed,New York,1239698,"19515 users, $41k MRR",10,Below $100k,True,10,15,"Poole, Wilson and Cooper is a Seed EdTech startup based in New York. The company has a 10-member team and has achieved 19515 users, $41k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $1,239,698 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 15 companies."
41,4130,Hamilton-Bass,SaaS,Series A,San Francisco,2775788,"58588 users, $99k MRR",30,Above $500k,True,3,11,"Hamilton-Bass is a Series A SaaS startup based in San Francisco. The company has a 30-member team and has achieved 58588 users, $99k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $2,775,788 to scale operations and expand their market presence. Preferred investors should have at least 3 years of experience and a portfolio of at least 11 companies."
42,2548,Chapman Group,EdTech,Seed,Berlin,622184,"12700 users, $15k MRR",5,$100k - $500k,False,3,17,"Chapman Group is a Seed EdTech startup based in Berlin. The company has a 5-member team and has achieved 12700 users, $15k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $622,184 to scale operations and expand their market presence. Preferred investors should have at least 3 years of experience and a portfolio of at least 17 companies."
43,4805,Young-Hampton,E-commerce,Seed,Bangalore,946533,"6504 users, $31k MRR",10,Below $100k,True,4,16,"Young-Hampton is a Seed E-commerce startup based in Bangalore. The company has a 10-member team and has achieved 6504 users, $31k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $946,533 to scale operations and expand their market presence. Preferred investors should have at least 4 years of experience and a portfolio of at least 16 companies."
44,7967,Martinez-Ingram,EdTech,Series A,New York,2797710,"33870 users, $94k MRR",21,$100k - $500k,True,4,19,"Martinez-Ingram is a Series A EdTech startup based in New York. The company has a 21-member team and has achieved 33870 users, $94k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $2,797,710 to scale operations and expand their market presence. Preferred investors should have at least 4 years of experience and a portfolio of at least 19 companies."
45,6996,Mcmahon PLC,Climate Tech,Pre-Seed,Berlin,139946,"532 users, $1k MRR",4,Pre-Revenue,False,8,20,"Mcmahon PLC is a Pre-Seed Climate Tech startup based in Berlin. The company has a 4-member team and has achieved 532 users, $1k MRR. They are currently at the Pre-Revenue stage and not yet incorporated. They are seeking $139,946 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 20 companies."
46,8996,"Stevens, Green and Rowe",EdTech,Seed,Toronto,663888,"2412 users, $11k MRR",10,Below $100k,True,8,9,"Stevens, Green and Rowe is a Seed EdTech startup based in Toronto. The company has a 10-member team and has achieved 2412 users, $11k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $663,888 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 9 companies."
47,8569,Soto-Brown,HealthTech,Seed,San Francisco,552328,"4740 users, $48k MRR",11,Below $100k,True,10,12,"Soto-Brown is a Seed HealthTech startup based in San Francisco. The company has a 11-member team and has achieved 4740 users, $48k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $552,328 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 12 companies."
49,4362,Rodriguez LLC,Climate Tech,Seed,Toronto,1152264,"9346 users, $13k MRR",14,Below $100k,True,2,5,"Rodriguez LLC is a Seed Climate Tech startup based in Toronto. The company has a 14-member team and has achieved 9346 users, $13k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $1,152,264 to scale operations and expand their market presence. Preferred investors should have at least 2 years of experience and a portfolio of at least 5 companies."
50,1687,Hodges-Richards,HealthTech,Series A,Berlin,3086319,"37840 users, $78k MRR",16,$100k - $500k,True,10,20,"Hodges-Richards is a Series A HealthTech startup based in Berlin. The company has a 16-member team and has achieved 37840 users, $78k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $3,086,319 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 20 companies."
51,9982,Patterson Inc,E-commerce,Series A,London,4568797,"63261 users, $189k MRR",18,Above $500k,True,6,20,"Patterson Inc is a Series A E-commerce startup based in London. The company has a 18-member team and has achieved 63261 users, $189k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $4,568,797 to scale operations and expand their market presence. Preferred investors should have at least 6 years of experience and a portfolio of at least 20 companies."
52,5413,Freeman and Sons,Climate Tech,Pre-Seed,San Francisco,268492,"1877 users, $6k MRR",4,Below $100k,True,5,16,"Freeman and Sons is a Pre-Seed Climate Tech startup based in San Francisco. The company has a 4-member team and has achieved 1877 users, $6k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $268,492 to scale operations and expand their market presence. Preferred investors should have at least 5 years of experience and a portfolio of at least 16 companies."
53,7675,"Bridges, Branch and Dean",Climate Tech,Pre-Seed,San Francisco,383517,"1964 users, $1k MRR",2,Pre-Revenue,True,9,17,"Bridges, Branch and Dean is a Pre-Seed Climate Tech startup based in San Francisco. The company has a 2-member team and has achieved 1964 users, $1k MRR. They are currently at the Pre-Revenue stage and is incorporated. They are seeking $383,517 to scale operations and expand their market presence. Preferred investors should have at least 9 years of experience and a portfolio of at least 17 companies."
54,8411,French-Ross,Climate Tech,Seed,London,917113,"9921 users, $27k MRR",6,$100k - $500k,True,2,13,"French-Ross is a Seed Climate Tech startup based in London. The company has a 6-member team and has achieved 9921 users, $27k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $917,113 to scale operations and expand their market presence. Preferred investors should have at least 2 years of experience and a portfolio of at least 13 companies."
55,3943,"Barnes, Johnson and Sheppard",EdTech,Pre-Seed,Berlin,116145,"1518 users, $4k MRR",3,Pre-Revenue,False,3,17,"Barnes, Johnson and Sheppard is a Pre-Seed EdTech startup based in Berlin. The company has a 3-member team and has achieved 1518 users, $4k MRR. They are currently at the Pre-Revenue stage and not yet incorporated. They are seeking $116,145 to scale operations and expand their market presence. Preferred investors should have at least 3 years of experience and a portfolio of at least 17 companies."
56,3173,Parker and Sons,E-commerce,Pre-Seed,Toronto,476735,"1293 users, $5k MRR",3,Below $100k,True,2,6,"Parker and Sons is a Pre-Seed E-commerce startup based in Toronto. The company has a 3-member team and has achieved 1293 users, $5k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $476,735 to scale operations and expand their market presence. Preferred investors should have at least 2 years of experience and a portfolio of at least 6 companies."
57,6133,Wells PLC,HealthTech,Pre-Seed,Berlin,209769,"561 users, $4k MRR",5,Below $100k,True,6,10,"Wells PLC is a Pre-Seed HealthTech startup based in Berlin. The company has a 5-member team and has achieved 561 users, $4k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $209,769 to scale operations and expand their market presence. Preferred investors should have at least 6 years of experience and a portfolio of at least 10 companies."
58,3458,Potter LLC,Climate Tech,Series A,London,4250232,"96006 users, $110k MRR",10,Above $500k,True,7,5,"Potter LLC is a Series A Climate Tech startup based in London. The company has a 10-member team and has achieved 96006 users, $110k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $4,250,232 to scale operations and expand their market presence. Preferred investors should have at least 7 years of experience and a portfolio of at least 5 companies."
59,8985,Austin Inc,SaaS,Seed,London,611580,"15622 users, $44k MRR",6,$100k - $500k,True,2,13,"Austin Inc is a Seed SaaS startup based in London. The company has a 6-member team and has achieved 15622 users, $44k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $611,580 to scale operations and expand their market presence. Preferred investors should have at least 2 years of experience and a portfolio of at least 13 companies."
60,6154,Sanchez Ltd,EdTech,Pre-Seed,New York,179568,"663 users, $2k MRR",3,Pre-Revenue,True,7,4,"Sanchez Ltd is a Pre-Seed EdTech startup based in New York. The company has a 3-member team and has achieved 663 users, $2k MRR. They are currently at the Pre-Revenue stage and is incorporated. They are seeking $179,568 to scale operations and expand their market presence. Preferred investors should have at least 7 years of experience and a portfolio of at least 4 companies."
61,4479,Burgess-Sanders,Climate Tech,Series A,San Francisco,3781628,"71657 users, $102k MRR",22,Above $500k,False,8,5,"Burgess-Sanders is a Series A Climate Tech startup based in San Francisco. The company has a 22-member team and has achieved 71657 users, $102k MRR. They are currently at the Above $500k stage and not yet incorporated. They are seeking $3,781,628 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 5 companies."
62,1026,"Martinez, Kirk and Andrews",EdTech,Pre-Seed,New York,424429,"451 users, $8k MRR",4,Pre-Revenue,False,8,6,"Martinez, Kirk and Andrews is a Pre-Seed EdTech startup based in New York. The company has a 4-member team and has achieved 451 users, $8k MRR. They are currently at the Pre-Revenue stage and not yet incorporated. They are seeking $424,429 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 6 companies."
63,9495,Villa-Hughes,Climate Tech,Seed,San Francisco,910852,"6872 users, $50k MRR",7,$100k - $500k,False,7,20,"Villa-Hughes is a Seed Climate Tech startup based in San Francisco. The company has a 7-member team and has achieved 6872 users, $50k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $910,852 to scale operations and expand their market presence. Preferred investors should have at least 7 years of experience and a portfolio of at least 20 companies."
64,8917,Oconnor Group,Fintech,Pre-Seed,Berlin,138503,"1850 users, $1k MRR",4,Pre-Revenue,False,4,10,"Oconnor Group is a Pre-Seed Fintech startup based in Berlin. The company has a 4-member team and has achieved 1850 users, $1k MRR. They are currently at the Pre-Revenue stage and not yet incorporated. They are seeking $138,503 to scale operations and expand their market presence. Preferred investors should have at least 4 years of experience and a portfolio of at least 10 companies."
65,7401,"Olson, Wright and Farrell",SaaS,Seed,London,1023454,"6284 users, $30k MRR",10,$100k - $500k,False,8,12,"Olson, Wright and Farrell is a Seed SaaS startup based in London. The company has a 10-member team and has achieved 6284 users, $30k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $1,023,454 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 12 companies."
66,5775,"Robinson, Moran and Mora",SaaS,Series A,New York,1811949,"51023 users, $194k MRR",22,Above $500k,True,8,16,"Robinson, Moran and Mora is a Series A SaaS startup based in New York. The company has a 22-member team and has achieved 51023 users, $194k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $1,811,949 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 16 companies."
67,4165,"Roberts, Zimmerman and Kelley",E-commerce,Pre-Seed,Toronto,301332,"1840 users, $1k MRR",6,Below $100k,True,4,3,"Roberts, Zimmerman and Kelley is a Pre-Seed E-commerce startup based in Toronto. The company has a 6-member team and has achieved 1840 users, $1k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $301,332 to scale operations and expand their market presence. Preferred investors should have at least 4 years of experience and a portfolio of at least 3 companies."
68,6368,Farrell and Sons,HealthTech,Series A,San Francisco,3377100,"53872 users, $146k MRR",11,Above $500k,False,9,7,"Farrell and Sons is a Series A HealthTech startup based in San Francisco. The company has a 11-member team and has achieved 53872 users, $146k MRR. They are currently at the Above $500k stage and not yet incorporated. They are seeking $3,377,100 to scale operations and expand their market presence. Preferred investors should have at least 9 years of experience and a portfolio of at least 7 companies."
69,3729,"Neal, Henderson and Bailey",HealthTech,Seed,Toronto,699919,"15439 users, $49k MRR",15,Below $100k,False,5,7,"Neal, Henderson and Bailey is a Seed HealthTech startup based in Toronto. The company has a 15-member team and has achieved 15439 users, $49k MRR. They are currently at the Below $100k stage and not yet incorporated. They are seeking $699,919 to scale operations and expand their market presence. Preferred investors should have at least 5 years of experience and a portfolio of at least 7 companies."
70,9592,"Clark, Robinson and Chase",EdTech,Series A,San Francisco,1639592,"71628 users, $183k MRR",29,$100k - $500k,False,5,10,"Clark, Robinson and Chase is a Series A EdTech startup based in San Francisco. The company has a 29-member team and has achieved 71628 users, $183k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $1,639,592 to scale operations and expand their market presence. Preferred investors should have at least 5 years of experience and a portfolio of at least 10 companies."
71,5856,Shaffer and Sons,EdTech,Seed,Berlin,811445,"7926 users, $39k MRR",9,$100k - $500k,True,10,16,"Shaffer and Sons is a Seed EdTech startup based in Berlin. The company has a 9-member team and has achieved 7926 users, $39k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $811,445 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 16 companies."
